R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
17,—,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,76.0,6th,1994,final
18,—,Bosnia & Herzegovina,Alma and Dejan,Ostani Kraj Mene,39.0,15th,1994,final
19,—,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri (diri Diri),44.0,14th,1994,final
20,—,Austria,Petra Frey,Für Den Frieden Der Welt,19.0,17th,1994,final
21,—,Spain,Alejandro Abad,Ella No Es Ella,17.0,18th,1994,final
22,—,Hungary,Friderika Bayer,Kinek Mondjam El Vétkeimet,122.0,4th,1994,final
23,—,Russia,Youddiph,Vechni Stranik,70.0,9th,1994,final
24,—,Poland,Edyta Górniak,To Nie Ja!,166.0,2nd,1994,final
25,—,France,Nina Morato,Je Suis Un Vrai Garçon,74.0,7th,1994,final
1,—,Poland,Justyna,Sama,15.0,18th,1995,final
2,—,Ireland,Eddie Friel,Dreamin',44.0,14th,1995,final
3,—,Germany,Stone and Stone,Verliebt In Dich,1.0,23rd,1995,final
4,—,Bosnia & Herzegovina,Davor Popovic,Dvadeset I Prvi Vijek,14.0,19th,1995,final
5,—,Norway,Secret Garden,Nocturne,148.0,1st,1995,final
6,—,Russia,Philipp Kirkorov,Kolybelnaya Dlya Vulkana,17.0,17th,1995,final
7,—,Iceland,Bó Halldórsson,Núna,31.0,15th,1995,final
8,—,Austria,Stella Jones,Die Welt Dreht Sich Verkehrt,67.0,13th,1995,final
9,—,Spain,Anabel Conde,Vuelve Conmigo,119.0,2nd,1995,final
10,—,Türkiye,Arzu Ece,Sev!,21.0,16th,1995,final
11,—,Croatia,Magazin and Lidija,Nostalgija,91.0,6th,1995,final
12,—,France,Nathalie Santamaria,Il Me Donne Rendez-vous,94.0,4th,1995,final
13,—,Hungary,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan,3.0,22nd,1995,final
14,—,Belgium,Frédéric Etherlinck,La Voix Est Libre,8.0,20th,1995,final
15,—,United Kingdom,Love City Groove,Love City Groove,76.0,10th,1995,final
16,—,Portugal,Tó Cruz,Baunilha E Chocolate,5.0,21st,1995,final
17,—,Cyprus,Alexandros Panayi,Sti Fotia,79.0,9th,1995,final
18,—,Sweden,Jan Johansen,Se På Mej,100.0,3rd,1995,final
19,—,Denmark,Aud Wilken,Fra Mols Til Skagen,92.0,5th,1995,final
20,—,Slovenia,Darja Svajger,Prisluhni Mi,84.0,7th,1995,final
21,—,Israel,Liora,Amen,81.0,8th,1995,final
22,—,Malta,Mike Spiteri,Keep Me In Mind,76.0,10th,1995,final
23,—,Greece,Elina Constantopoulou,Pia Prossefchi,68.0,12th,1995,final
1,—,Türkiye,Şebnem Paker,Besinçi Mevsim,57.0,12th,1996,final
2,—,United Kingdom,Gina G,Ooh...Aah...Just A Little Bit,77.0,8th,1996,final
3,—,Spain,Antonio Carbonell,"¡Ay, Qué Deseo!",17.0,20th,1996,final
4,—,Portugal,Lúcia Moniz,O Meu Coração Não Tem Cor,92.0,6th,1996,final
5,—,Cyprus,Constantinos,Móno Gia Más,72.0,9th,1996,final
6,—,Malta,Miriam Christine,In A Woman's Heart,68.0,10th,1996,final
7,—,Croatia,Maja Blagdan,Sveta Ljubav,98.0,4th,1996,final
8,—,Austria,George Nußbaumer,Weil's Dr Guat Got,68.0,10th,1996,final
9,—,Switzerland,Cathy Leander,Mon Coeur L'aime,22.0,16th,1996,final
10,—,Greece,Marianna Efstratiou,Emis Forame To Himona Anixiatika,36.0,14th,1996,final
11,—,Estonia,Ivo Linna and Maarja-Liis Ilus,Kaelakee Hääl,94.0,5th,1996,final
12,—,Norway,Elisabeth Andreasson,I Evighet,114.0,2nd,1996,final
13,—,France,Dan Ar Braz et l'Héritage des Celtes,Diwanit Bugale,18.0,19th,1996,final
14,—,Slovenia,Regina,Dan najlepših sanj,16.0,21st,1996,final
15,—,Netherlands,Maxine and Franklin Brown,De Eerste Keer,78.0,7th,1996,final
16,—,Belgium,Lisa del Bo,Liefde Is Een Kaartspel,22.0,16th,1996,final
17,—,Ireland,Eimear Quinn,The Voice,162.0,1st,1996,final
18,—,Finland,Jasmine,Niin Kaunis On Taivas,9.0,23rd,1996,final
19,—,Iceland,Anna Mjöll,Sjúbídú,51.0,13th,1996,final
20,—,Poland,Kasia Kowalska,Chce Znac Swój Grzech,31.0,15th,1996,final
21,—,Bosnia & Herzegovina,Amila Glamocak,Za Nau Ljubav,13.0,22nd,1996,final
22,—,Slovakia,Marcel Palonder,Kým Nás Má,19.0,18th,1996,final
23,—,Sweden,One More Time,Den Vilda,100.0,3rd,1996,final
1,—,Cyprus,Chara and Andreas Konstantinou,Mana Mou,98.0,5th,1997,final
2,—,Türkiye,Sebnem Paker and Group Etnic,Dinle,121.0,3rd,1997,final
3,—,Norway,Tor Endresen,San Francisco,,24th,1997,final
4,—,Austria,Bettina Soriat,One Step,12.0,21st,1997,final
5,—,Ireland,Marc Roberts,Mysterious Woman,157.0,2nd,1997,final
6,—,Slovenia,Tanja Ribic,Zbudi Se,60.0,10th,1997,final
7,—,Switzerland,Barbara Berta,Dentro Di Me,5.0,22nd,1997,final
8,—,Netherlands,Mrs. Einstein,Niemand Heeft Nog Tijd,5.0,22nd,1997,final
9,—,Italy,Jalisse,Fiumi Di Parole,114.0,4th,1997,final
10,—,Spain,Marcos Llunas,Sin Rencor,96.0,6th,1997,final
11,—,Germany,Bianca Shomburg,Zeit,22.0,18th,1997,final
12,—,Poland,Anna Maria Jopek,Ale Jestem,54.0,11th,1997,final
13,—,Estonia,Maarja-Liis Ilus,Keelatud Maa,82.0,8th,1997,final
14,—,Bosnia & Herzegovina,Alma Cardzic,Goodbye,22.0,18th,1997,final
15,—,Portugal,Célia Lawson,Antes Do Adeus,,24th,1997,final
16,—,Sweden,Blond,Bara Hon älskar Mig,36.0,14th,1997,final
17,—,Greece,Marianna Zorba,Horepse,39.0,12th,1997,final
18,—,Malta,Debbie Scerri,Let Me Fly,66.0,9th,1997,final
19,—,Hungary,VIP,"Miert Kell, Hogy Elmenj?",39.0,12th,1997,final
20,—,Russia,Alla Pugachova,Primadonna,33.0,15th,1997,final
21,—,Denmark,Kølig Kaj,Stemmen I Mit Liv,25.0,16th,1997,final
22,—,France,Fanny,Sentiments Songes,95.0,7th,1997,final
23,—,Croatia,ENI,Probudi Me,24.0,17th,1997,final
24,—,United Kingdom,Katrina and The Waves,Love Shine A Light,227.0,1st,1997,final
25,—,Iceland,Paul Oscar,Minn Hinsti Dans,18.0,20th,1997,final
1,—,Croatia,Danijela,Neka Mi Ne Svane,131.0,5th,1998,final
2,—,Greece,Dionysia and Thalassa group,Mia Krifi Evaisthissia,12.0,20th,1998,final
3,—,France,Marie-Line,Où Aller,3.0,24th,1998,final
4,—,Spain,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?,21.0,16th,1998,final
5,—,Switzerland,Gunvor,Lass Ihn,,25th,1998,final
6,—,Slovakia,Katarína Hasprová,Modlitba,8.0,21st,1998,final
7,—,Poland,Sixteen,To Takie Proste,19.0,17th,1998,final
8,—,Israel,Dana International,Diva,172.0,1st,1998,final
9,—,Germany,Guildo Horn,Guildo Hat Euch Lieb,86.0,7th,1998,final
10,—,Malta,Chiara,The One That I Love,165.0,3rd,1998,final
11,—,Hungary,Charlie,A Holnap Már Ném Lesz Szomorú,4.0,23rd,1998,final
12,—,Slovenia,Vili Resnik,Naj Bogovi Sliijo,17.0,18th,1998,final
13,—,Ireland,Dawn,Is Always Over Now?,64.0,9th,1998,final
14,—,Portugal,Alma Lusa,Se Eu Te Pudesse Abraçar,36.0,12th,1998,final
15,—,Romania,Malina Olinescu,Eu Cred,6.0,22nd,1998,final
16,—,United Kingdom,Imaani,Where Are You?,166.0,2nd,1998,final
17,—,Cyprus,Michael Hajiyanni,Genesis,37.0,11th,1998,final
18,—,Netherlands,Edsilia Rombley,Hemel En Aarde,150.0,4th,1998,final
19,—,Sweden,Jill Johnson,Kärleken är,53.0,10th,1998,final
20,—,Belgium,Mélanie Cohl,Dis Oui,122.0,6th,1998,final
21,—,Finland,Edea,Aava,22.0,15th,1998,final
22,—,Norway,Lars A. Fredriksen,Alltid Sommer,79.0,8th,1998,final
23,—,Estonia,Koit Toome,Mere Lapsed,36.0,12th,1998,final
24,—,Türkiye,Tüzmen,Unutamazsin,25.0,14th,1998,final
25,—,North Macedonia,Vlado Janevski,"Ne Zori, Zoro",16.0,19th,1998,final
1,—,Lithuania,Aiste Smilgeviciute,Strazdas,13.0,20th,1999,final
2,—,Belgium,Vanessa Chinitor,Like The Wind,38.0,12th,1999,final
3,—,Spain,Lydia,No Quiero Escuchar,1.0,23rd,1999,final
4,—,Croatia,Doris Dragovic,Marija Magdalena,118.0,4th,1999,final
5,—,United Kingdom,Precious,Say It Again,38.0,12th,1999,final
6,—,Slovenia,Darja Svajger,For A Thousand Years,50.0,11th,1999,final
7,—,Türkiye,Tuba Önal & Grup Mystik,Dön Artik,21.0,16th,1999,final
8,—,Norway,Stig André Van Eijk,Living My Life Without You,35.0,14th,1999,final
9,—,Denmark,Trine Jepsen & Michael Teschl,This Time (i Mean It),71.0,8th,1999,final
10,—,France,Nayah,Je Veux Donner Ma Voix,14.0,19th,1999,final
11,—,Netherlands,Marlayne,One Good Reason,71.0,8th,1999,final
12,—,Poland,Mietek (Mieczyslaw) Szczesniak,Przytul Mnie Mocno,17.0,18th,1999,final
13,—,Iceland,Selma Björnsdóttir,All Out Of Luck,146.0,2nd,1999,final
14,—,Cyprus,Marlain Angelidou,Tha'nai Erotas,2.0,22nd,1999,final
15,—,Sweden,Charlotte Nilsson,Take Me To Your Heaven,163.0,1st,1999,final
16,—,Portugal,Rui Bandeira,Como Tudo Começou,12.0,21st,1999,final
17,—,Ireland,The Mullan's,When You Need Me,18.0,17th,1999,final
18,—,Austria,Bobbie Singer,Reflection,65.0,10th,1999,final
19,—,Israel,Eden,Yom Huledeth,93.0,5th,1999,final
20,—,Malta,Times 3,Believe 'n Peace,32.0,15th,1999,final
21,—,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,140.0,3rd,1999,final
22,—,Bosnia & Herzegovina,Dino and Beatrice,Putnici,86.0,7th,1999,final
23,—,Estonia,Evelin Samuel and Camille,Diamond Of Night,90.0,6th,1999,final
1,—,Israel,Ping Pong,Sa'me'akh,7.0,22nd,2000,final
2,—,Netherlands,Linda Wagenmakers,No Goodbyes,40.0,13th,2000,final
3,—,United Kingdom,Nicki French,Don't Play That Song Again,28.0,16th,2000,final
4,—,Estonia,Ines,Once In A Lifetime,98.0,4th,2000,final
5,—,France,Sofia Mestari,On Aura Le Ciel,5.0,23rd,2000,final
6,—,Romania,Taxi,The Moon,25.0,17th,2000,final
7,—,Malta,Claudette Pace,Desire,73.0,8th,2000,final
8,—,Norway,Charmed,My Heart Goes Boom,57.0,11th,2000,final
9,—,Russia,Alsou,Solo,155.0,2nd,2000,final
10,—,Belgium,Nathalie Sorce,Envie De Vivre,2.0,24th,2000,final
11,—,Cyprus,Voice,Nomiza,8.0,21st,2000,final
12,—,Iceland,Einer Augúst Víðisson en Telma Augústdóttir,Tell Me!,45.0,12th,2000,final
13,—,Spain,Serafín Zubiri,Colgado De Un Sueño,18.0,18th,2000,final
14,—,Denmark,Olsen brothers,Fly On The Wings Of Love,195.0,1st,2000,final
15,—,Germany,Stefan Raab,Wadde Hadde Dudde Da,96.0,5th,2000,final
16,—,Switzerland,Jane Bogaert,La Vita Cos'è?,14.0,20th,2000,final
17,—,Croatia,Goran Karan,Kada Zaspu Andeli,70.0,9th,2000,final
18,—,Sweden,Roger Pontare,When Spirits Are Calling My Name,88.0,7th,2000,final
19,—,North Macedonia,XXL,100\% Te Ljubam,29.0,15th,2000,final
20,—,Finland,Nina Åström,A Little Bit,18.0,18th,2000,final
21,—,Latvia,BrainStorm,My Star,136.0,3rd,2000,final
22,—,Türkiye,Pinar Ayhan & S.O.S. band,Yorgunum Anla,59.0,10th,2000,final
23,—,Ireland,Eamonn Toal,Millennium Of Love,92.0,6th,2000,final
24,—,Austria,The rounder girls,All To You,34.0,14th,2000,final
1,—,Netherlands,Michelle,Out On My Own,16.0,18th,2001,final
2,—,Iceland,TwoTricky,Angel,3.0,22nd,2001,final
3,—,Bosnia & Herzegovina,Nino,Hano,29.0,14th,2001,final
4,—,Norway,Haldor Lægreid,On My Own,3.0,22nd,2001,final
5,—,Israel,Tal Sondak,Ein Davar,25.0,16th,2001,final
6,—,Russia,Mumiy troll,Lady Alpine Blue,37.0,12th,2001,final
7,—,Sweden,Friends,Listen To Your Heartbeat,100.0,5th,2001,final
8,—,Lithuania,Skamp,You Got Style,35.0,13th,2001,final
9,—,Latvia,Arnis Mednis,Too Much,16.0,18th,2001,final
10,—,Croatia,Vanna,Strings Of My Heart,42.0,10th,2001,final
11,—,Portugal,MTM,Só Sei Ser Feliz Assim,18.0,17th,2001,final
12,—,Ireland,Gary O'Shaughnessy,Without Your Love,6.0,21st,2001,final
13,—,Spain,David Civera,Dile Que La Quiero,76.0,6th,2001,final
14,—,France,Natasha St-Pier,Je N'ai Que Mon âme,142.0,4th,2001,final
15,—,Türkiye,Sedat Yüce,Sevgiliye Son,41.0,11th,2001,final
16,—,United Kingdom,Lindsay D.,No Dream Impossible,28.0,15th,2001,final
17,—,Slovenia,Nuša Derenda,Energy,70.0,7th,2001,final
18,—,Poland,Piasek,2 Long,11.0,20th,2001,final
19,—,Germany,Michelle,Wer Liebe Lebt,66.0,8th,2001,final
20,—,Estonia,"Tanel Padar, Dave Benton & 2XL",Everybody,198.0,1st,2001,final
21,—,Malta,Fabrizio Faniello,Another Summer Night,48.0,9th,2001,final
22,—,Greece,Antique,Die For You,147.0,3rd,2001,final
23,—,Denmark,Rollo & King,Never Ever Let You Go,177.0,2nd,2001,final
1,—,Cyprus,One,Gimme,85.0,6th,2002,final
2,—,United Kingdom,Jessica Garlick,Come Back,111.0,3rd,2002,final
3,—,Austria,Manuel Ortega,Say A Word,26.0,18th,2002,final
4,—,Greece,Michalis Rakintzis,S.A.G.A.P.O.,27.0,17th,2002,final
5,—,Spain,Rosa,Europe's Living A Celebration,81.0,7th,2002,final
6,—,Croatia,Vesna Pisarovic,Everything I Want,44.0,11th,2002,final
7,—,Russia,Prime minister,Northern Girl,55.0,10th,2002,final
8,—,Estonia,Sahléne,Runaway,111.0,3rd,2002,final
9,—,North Macedonia,Karolina,Od Nas Zavisi,25.0,19th,2002,final
10,—,Israel,Sarit Hadad,Light A Candle,37.0,12th,2002,final
11,—,Switzerland,Francine Jordi,Dans Le Jardin De Mon Âme,15.0,22nd,2002,final
12,—,Sweden,Afro-dite,Never Let It Go,72.0,8th,2002,final
13,—,Finland,Laura,Addicted To You,24.0,20th,2002,final
14,—,Denmark,Malene,Tell Me Who You Are,7.0,24th,2002,final
15,—,Bosnia & Herzegovina,Maja,Na Jastuku Za Dvoje,33.0,13th,2002,final
16,—,Belgium,Sergio & the Ladies,Sister,33.0,13th,2002,final
17,—,France,Sandrine François,Il Faut Du Temps,104.0,5th,2002,final
18,—,Germany,Corinna May,I Can't Live Without Music,17.0,21st,2002,final
19,—,Türkiye,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,29.0,16th,2002,final
20,—,Malta,Ira Losco,7th Wonder,164.0,2nd,2002,final
21,—,Romania,Monica Anghel & Marcel Pavel,Tell Me Why,71.0,9th,2002,final
22,—,Slovenia,Sestre,Samo Ljubezen,33.0,13th,2002,final
23,—,Latvia,Marie N,I Wanna,176.0,1st,2002,final
24,—,Lithuania,Aivaras,Happy You,12.0,23rd,2002,final
1,—,Iceland,Birgitta,Open Your Heart,81.0,8th,2003,final
2,—,Austria,Alf Poier,Weil Der Mensch Zählt,101.0,6th,2003,final
3,—,Ireland,Mickey Harte,Weve Got The World,53.0,11th,2003,final
4,—,Türkiye,Sertab Erener,Everyway That I Can,167.0,1st,2003,final
5,—,Malta,Lynn Chirchop,To Dream Again,4.0,25th,2003,final
6,—,Bosnia & Herzegovina,Mija Martina,Ne Brini,27.0,16th,2003,final
7,—,Portugal,Rita Guerra,Deixa-me Sonhar,13.0,22nd,2003,final
8,—,Croatia,Claudia Beni,Vie Nisam Tvoja,29.0,15th,2003,final
9,—,Cyprus,Stelios Constantas,Feeling Alive,15.0,20th,2003,final
10,—,Germany,Lou,Let's Get Happy,53.0,11th,2003,final
11,—,Russia,t.A.T.u.,"Ne Ver, Ne Boisia",164.0,3rd,2003,final
12,—,Spain,Beth,Dime,81.0,8th,2003,final
13,—,Israel,Lior Narkis,Words For Love,17.0,19th,2003,final
14,—,Netherlands,Esther Hart,One More Night,45.0,13th,2003,final
15,—,United Kingdom,Jemini,Cry Baby,,26th,2003,final
16,—,Ukraine,Olexandr,Hasta La Vista,30.0,14th,2003,final
17,—,Greece,Mando,Never Let You Go,25.0,17th,2003,final
18,—,Norway,Jostein Hasselgård,I'm Not Afraid To Move On,123.0,4th,2003,final
19,—,France,Louisa Baileche,Monts Et Merveilles,19.0,18th,2003,final
20,—,Poland,Ich Troje,Keine Grenzen - Zadnych Granic,90.0,7th,2003,final
21,—,Latvia,F.L.Y.,Hello From Mars,5.0,24th,2003,final
22,—,Belgium,Urban Trad,Sanomi,165.0,2nd,2003,final
23,—,Estonia,Ruffus,Eighties Coming Back,14.0,21st,2003,final
24,—,Romania,Nicola,Dont Break My Heart,73.0,10th,2003,final
25,—,Sweden,Fame,Give Me Your Love,107.0,5th,2003,final
26,—,Slovenia,Karmen,Nanana,7.0,23rd,2003,final
1,—,Spain,Ramón,Para Llenarme De Ti,87.0,10th,2004,grand-final
2,—,Austria,Tie Break,Du Bist,9.0,21st,2004,grand-final
3,—,Norway,Knut Anders Sørum,High,3.0,24th,2004,grand-final
4,—,France,Jonatan Cerrada,A Chaque Pas,40.0,15th,2004,grand-final
5,—,Serbia & Montenegro,Željko Joksimović,Lane Moje,263.0,2nd,2004,grand-final
6,—,Malta,Julie & Ludwig,On Again... Off Again,50.0,12th,2004,grand-final
7,—,Netherlands,Re-union,Without You,11.0,20th,2004,grand-final
8,—,Germany,Max (Maximilian Mutzke),Can't Wait Until Tonight,93.0,8th,2004,grand-final
9,—,Albania,Anjeza Shahini,The Image Of You,106.0,7th,2004,grand-final
10,—,Ukraine,Ruslana,Wild Dances,280.0,1st,2004,grand-final
11,—,Croatia,Ivan Mikulic,You Are The Only One,50.0,12th,2004,grand-final
12,—,Bosnia & Herzegovina,Deen,In The Disco,91.0,9th,2004,grand-final
13,—,Belgium,Xandee,1 Life,7.0,22nd,2004,grand-final
14,—,Russia,Julia Savicheva,Believe Me,67.0,11th,2004,grand-final
15,—,North Macedonia,Tose Proeski,Life,47.0,14th,2004,grand-final
16,—,Greece,Sakis Rouvas,Shake It,252.0,3rd,2004,grand-final
17,—,Iceland,Jónsi,Heaven,16.0,19th,2004,grand-final
18,—,Ireland,Chris Doran,If My World Stopped Turning,7.0,22nd,2004,grand-final
19,—,Poland,Blue Cafe,Love Song,27.0,17th,2004,grand-final
20,—,United Kingdom,James Fox,Hold On To Our Love,29.0,16th,2004,grand-final
21,—,Cyprus,Lisa Andreas,Stronger Every Minute,170.0,5th,2004,grand-final
22,—,Türkiye,Athena,For Real,195.0,4th,2004,grand-final
23,—,Romania,Sanda Ladosi,I Admit,18.0,18th,2004,grand-final
24,—,Sweden,Lena Philipsson,It Hurts,170.0,5th,2004,grand-final
1,—,Finland,Jari Sillanpää,Takes 2 To Tango,51.0,14th,2004,semi-final
2,—,Belarus,Aleksandra & Konstantin,My Galileo,10.0,19th,2004,semi-final
3,—,Switzerland,Piero Esteriore & the MusicStars,Celebrate,,22nd,2004,semi-final
4,—,Latvia,Fomins & Kleins,Dziesma Par Laimi,23.0,17th,2004,semi-final
5,—,Israel,David D'or,Le'ha'amin,57.0,11th,2004,semi-final
6,—,Andorra,Marta Roure,Jugarem A Estimar-nos,12.0,18th,2004,semi-final
7,—,Portugal,Sofia,Foi Magia,38.0,15th,2004,semi-final
8,—,Malta,Julie & Ludwigqualified,On Again... Off Again,74.0,8th,2004,semi-final
9,—,Monaco,Maryon,Notre Planète,10.0,19th,2004,semi-final
10,—,Greece,Sakis Rouvasqualified,Shake It,238.0,3rd,2004,semi-final
11,—,Ukraine,Ruslanaqualified,Wild Dances,256.0,2nd,2004,semi-final
12,—,Lithuania,Linas ir Simona,What's Happened To Your Love,26.0,16th,2004,semi-final
13,—,Albania,Anjeza Shahiniqualified,The Image Of You,167.0,4th,2004,semi-final
14,—,Cyprus,Lisa Andreasqualified,Stronger Every Minute,149.0,5th,2004,semi-final
15,—,North Macedonia,Tose Proeskiqualified,Life,71.0,10th,2004,semi-final
16,—,Slovenia,Platin,Stay Forever,5.0,21st,2004,semi-final
17,—,Estonia,Neiokõsõ,Tii,57.0,11th,2004,semi-final
18,—,Croatia,Ivan Mikulicqualified,You Are The Only One,72.0,9th,2004,semi-final
19,—,Denmark,Tomas Thordarson,Shame On You,56.0,13th,2004,semi-final
20,—,Serbia & Montenegro,Željko Joksimovićqualified,Lane Moje,263.0,1st,2004,semi-final
21,—,Bosnia & Herzegovina,Deenqualified,In The Disco,133.0,7th,2004,semi-final
22,—,Netherlands,Re-unionqualified,Without You,146.0,6th,2004,semi-final
1,—,Hungary,NOX,Forogj Világ,97.0,12th,2005,grand-final
2,—,United Kingdom,Javine,Touch My Fire,18.0,22nd,2005,grand-final
3,—,Malta,Chiara,Angel,192.0,2nd,2005,grand-final
4,—,Romania,Luminita Anghel & Sistem,Let Me Try,158.0,3rd,2005,grand-final
5,—,Norway,Wig Wam,In My Dreams,125.0,9th,2005,grand-final
6,—,Türkiye,Gülseren,Rimi Rimi Ley,92.0,13th,2005,grand-final
7,—,Moldova,Zdob si Zdub,Boonika Bate Toba,148.0,6th,2005,grand-final
8,—,Albania,Ledina Celo,Tomorrow I Go,53.0,16th,2005,grand-final
9,—,Cyprus,Constantinos Christoforou,Ela Ela,46.0,18th,2005,grand-final
10,—,Spain,Son de sol,Brujería,28.0,21st,2005,grand-final
11,—,Israel,Shiri Maymon,Hasheket Shenish'ar,154.0,4th,2005,grand-final
12,—,Serbia & Montenegro,No Name,Zauvijek Moja,137.0,7th,2005,grand-final
13,—,Denmark,Jakob Sveistrup,Talking To You,125.0,9th,2005,grand-final
14,—,Sweden,Martin Stenmarck,Las Vegas,30.0,19th,2005,grand-final
15,—,North Macedonia,Martin Vucic,Make My Day,52.0,17th,2005,grand-final
16,—,Ukraine,Greenjolly,Razom Nas Bahato,30.0,19th,2005,grand-final
17,—,Germany,Gracia,Run & Hide,4.0,24th,2005,grand-final
18,—,Croatia,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,115.0,11th,2005,grand-final
19,—,Greece,Helena Paparizou,My Number One,230.0,1st,2005,grand-final
20,—,Russia,Natalia Podolskaya,Nobody Hurt No One,57.0,15th,2005,grand-final
21,—,Bosnia & Herzegovina,Feminnem,Call Me,79.0,14th,2005,grand-final
22,—,Switzerland,Vanilla Ninja,Cool Vibes,128.0,8th,2005,grand-final
23,—,Latvia,Walter & Kazha,The War Is Not Over,153.0,5th,2005,grand-final
24,—,France,Ortal,Chacun Pense à Soi,11.0,23rd,2005,grand-final
1,—,Austria,Global.Kryner,Y Así,30.0,21st,2005,semi-final
2,—,Lithuania,Laura and the Lovers,Little By Little,17.0,25th,2005,semi-final
3,—,Portugal,2B,Amar,51.0,17th,2005,semi-final
4,—,Moldova,Zdob si Zdubqualified,Boonika Bate Toba,207.0,2nd,2005,semi-final
5,—,Latvia,Walter & Kazhaqualified,The War Is Not Over,85.0,10th,2005,semi-final
6,—,Monaco,Lise Darly,Tout De Moi,22.0,24th,2005,semi-final
7,—,Israel,Shiri Maymonqualified,Hasheket Shenish'ar,158.0,7th,2005,semi-final
8,—,Belarus,Angelica Agurbash,Love Me Tonight,67.0,13th,2005,semi-final
9,—,Netherlands,Glennis Grace,My Impossible Dream,53.0,14th,2005,semi-final
10,—,Iceland,Selma,If I Had Your Love,52.0,16th,2005,semi-final
11,—,Belgium,Nuno Resende,Le Grand Soir,29.0,22nd,2005,semi-final
12,—,Estonia,Suntribe,Let's Get Loud,31.0,20th,2005,semi-final
13,—,Norway,Wig Wamqualified,In My Dreams,164.0,6th,2005,semi-final
14,—,Romania,Luminita Anghel & Sistemqualified,Let Me Try,235.0,1st,2005,semi-final
15,—,Hungary,NOXqualified,Forogj Világ,167.0,5th,2005,semi-final
16,—,Finland,Geir Rönning,Why,50.0,18th,2005,semi-final
17,—,North Macedonia,Martin Vucicqualified,Make My Day,97.0,9th,2005,semi-final
18,—,Andorra,Marian van de Wal,La Mirada Interior,27.0,23rd,2005,semi-final
19,—,Switzerland,Vanilla Ninjaqualified,Cool Vibes,114.0,8th,2005,semi-final
20,—,Croatia,Boris Novkovic feat. Lado membersqualified,Vukovi Umiru Sami,169.0,4th,2005,semi-final
21,—,Bulgaria,Kaffe,Lorraine,49.0,19th,2005,semi-final
22,—,Ireland,Donna and Joseph McCaul,Love?,53.0,14th,2005,semi-final
23,—,Slovenia,Omar Naber,Stop,69.0,12th,2005,semi-final
24,—,Denmark,Jakob Sveistrupqualified,Talking To You,185.0,3rd,2005,semi-final
25,—,Poland,Ivan & Delfin,Czarna Dziewczyna,81.0,11th,2005,semi-final
1,—,Switzerland,Six4One,If We All Give A Little,30.0,16th,2006,grand-final
2,—,Moldova,Arsenium & Natalia Gordienko,Loca,22.0,20th,2006,grand-final
3,—,Israel,Eddie Butler,Ze Hazman,4.0,23rd,2006,grand-final
4,—,Latvia,Cosmos,I Hear Your Heart,30.0,16th,2006,grand-final
5,—,Norway,Christine Guldbrandsen,Alvedansen,36.0,14th,2006,grand-final
6,—,Spain,Las Ketchup,Bloody Mary,18.0,21st,2006,grand-final
7,—,Malta,Fabrizio Faniello,I Do,1.0,24th,2006,grand-final
8,—,Germany,Texas Lightning,"No, No, Never",36.0,14th,2006,grand-final
9,—,Denmark,Sidsel Ben Semmane,Twist Of Love,26.0,18th,2006,grand-final
10,—,Russia,Dima Bilan,Never Let You Go,248.0,2nd,2006,grand-final
11,—,North Macedonia,Elena Risteska,Ninanajna,56.0,12th,2006,grand-final
12,—,Romania,Mihai Traistariu,Tornero,172.0,4th,2006,grand-final
13,—,Bosnia & Herzegovina,Hari Mata Hari,Lejla,229.0,3rd,2006,grand-final
14,—,Lithuania,LT United,We Are The Winners,162.0,6th,2006,grand-final
15,—,United Kingdom,Daz Sampson,Teenage Life,25.0,19th,2006,grand-final
16,—,Greece,Anna Vissi,Everything,128.0,9th,2006,grand-final
17,—,Finland,Lordi,Hard Rock Hallelujah,292.0,1st,2006,grand-final
18,—,Ukraine,Tina Karol,Show Me Your Love,145.0,7th,2006,grand-final
19,—,France,Virginie Pouchin,Il était Temps,5.0,22nd,2006,grand-final
20,—,Croatia,Severina,Moja Štikla,56.0,12th,2006,grand-final
21,—,Ireland,Brian Kennedy,Every Song Is A Cry For Love,93.0,10th,2006,grand-final
22,—,Sweden,Carola,Invincible,170.0,5th,2006,grand-final
23,—,Türkiye,Sibel Tüzün,Superstar,91.0,11th,2006,grand-final
24,—,Armenia,André,Without Your Love,129.0,8th,2006,grand-final
1,—,Armenia,Andréqualified,Without Your Love,150.0,6th,2006,semi-final
2,—,Bulgaria,Mariana Popova,Let Me Cry,36.0,17th,2006,semi-final
3,—,Slovenia,Anej Dean,Mr. Nobody,49.0,16th,2006,semi-final
4,—,Andorra,Jennifer,Sense Tu,8.0,23rd,2006,semi-final
5,—,Belarus,Polina Smolova,Mum,10.0,22nd,2006,semi-final
6,—,Albania,Luiz Ejlli,Zjarr E Ftohtë,58.0,14th,2006,semi-final
7,—,Belgium,Kate Ryan,Je T'adore,69.0,12th,2006,semi-final
