R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
13,—,Norway,Odd Børre,Stress,2.0,13th,1968,final
14,—,Ireland,Pat McGeegan,Chance Of A Lifetime,18.0,4th,1968,final
15,—,Spain,Massiel,"La, La, La...",29.0,1st,1968,final
16,—,Germany,Wencke Myhre,Ein Hoch Der Liebe,11.0,6th,1968,final
17,—,Yugoslavia,Luci Kapurso and Hamo Hajdarhodzic,Jedan Dan,8.0,7th,1968,final
1,—,Yugoslavia,Ivan,Pozdrav Svijetu,5.0,13th,1969,final
2,—,Luxembourg,Romuald,Cathérine,7.0,11th,1969,final
3,—,Spain,Salomé,Vivo Cantando,18.0,1st,1969,final
4,—,Monaco,Jean-Jacques,"Maman, Maman",11.0,6th,1969,final
5,—,Ireland,Muriel Day and the Lindsays,The Wages Of Love,10.0,7th,1969,final
6,—,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,5.0,13th,1969,final
7,—,United Kingdom,Lulu,Boom Bang-a-bang,18.0,1st,1969,final
8,—,Netherlands,Lenny Kuhr,De Troubadour,18.0,1st,1969,final
9,—,Sweden,Tommy Körberg,"Judy, Min Vän",8.0,9th,1969,final
10,—,Belgium,Louis Neefs,Jennifer Jennings,10.0,7th,1969,final
11,—,Switzerland,Paola del Medico,"Bonjour, Bonjour",13.0,5th,1969,final
12,—,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",1.0,16th,1969,final
13,—,Germany,Siw Malmkvist,Primaballerina,8.0,9th,1969,final
14,—,France,Frida Boccara,"Un Jour, Un Enfant",18.0,1st,1969,final
15,—,Portugal,Simone de Oliveira,Desfolhada Portuguesa,4.0,15th,1969,final
16,—,Finland,Jarkko and Laura,Kuin Silloin Ennen,6.0,12th,1969,final
1,—,Netherlands,Patricia and Hearts of Soul,Waterman,7.0,7th,1970,final
2,—,Switzerland,Henri Dès,Retour,8.0,4th,1970,final
3,—,Italy,Gianni Morandi,Occhi Di Ragazza,5.0,8th,1970,final
4,—,Yugoslavia,Eva Sren,"Pridi, Dala Ti Bom Cvet",4.0,11th,1970,final
5,—,Belgium,Jean Vallée,Viens L'oublier,5.0,8th,1970,final
6,—,France,Guy Bonnet,Marie Blanche,8.0,4th,1970,final
7,—,United Kingdom,Mary Hopkin,"Knock, Knock (who's There?)",26.0,2nd,1970,final
8,—,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,,12th,1970,final
9,—,Spain,Julio Iglesias,Gwendolyne,8.0,4th,1970,final
10,—,Monaco,Dominique Dussault,Marlène,5.0,8th,1970,final
11,—,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,12.0,3rd,1970,final
12,—,Ireland,Dana,All Kinds Of Everything,32.0,1st,1970,final
1,—,Austria,Marianne Mendt,Musik,66.0,16th,1971,final
2,—,Malta,Joe Grech,Marija L-maltija,52.0,18th,1971,final
3,—,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",128.0,1st,1971,final
4,—,Switzerland,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans,78.0,12th,1971,final
5,—,Germany,Katja Ebstein,Diese Welt,100.0,3rd,1971,final
6,—,Spain,Karina,En Un Mundo Nuevo,116.0,2nd,1971,final
7,—,France,Serge Lama,Un Jardin Sur La Terre,82.0,10th,1971,final
8,—,Luxembourg,Monique Melsen,"Pomme, Pomme, Pomme",70.0,13th,1971,final
9,—,United Kingdom,Clodagh Rodgers,Jack In The Box,98.0,4th,1971,final
10,—,Belgium,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen",68.0,14th,1971,final
11,—,Italy,Massimo Ranieri,L'amore è Un Attimo,91.0,5th,1971,final
12,—,Sweden,Family Four,Vita Vidder,85.0,6th,1971,final
13,—,Ireland,Angela Farrell,One Day Love,79.0,11th,1971,final
14,—,Netherlands,Saskia and Serge,De Tijd,85.0,6th,1971,final
15,—,Portugal,Tonicha,Menina Do Alto Da Serra,83.0,9th,1971,final
16,—,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,68.0,14th,1971,final
17,—,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,84.0,8th,1971,final
18,—,Norway,Hanne Krogh,Lykken Er...,65.0,17th,1971,final
1,—,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,107.0,3rd,1972,final
2,—,France,Betty Mars,Comé-comédie,81.0,11th,1972,final
3,—,Ireland,Sandie Jones,Ceol On Ghrá,72.0,15th,1972,final
4,—,Spain,Jaime Morey,Amanece,83.0,10th,1972,final
5,—,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",114.0,2nd,1972,final
6,—,Norway,Grethe Kausland and Benny Borg,Småting,73.0,14th,1972,final
7,—,Portugal,Carlos Mendes,A Festa Da Vida,90.0,7th,1972,final
8,—,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,88.0,8th,1972,final
9,—,Malta,Helen and Joseph,L-imhabba,48.0,18th,1972,final
10,—,Finland,Päivi Paunu and Kim Floor,Muistathan,78.0,12th,1972,final
11,—,Austria,The Milestones,Falter Im Wind,100.0,5th,1972,final
12,—,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,92.0,6th,1972,final
13,—,Yugoslavia,Tereza,Muzika I Ti,87.0,9th,1972,final
14,—,Sweden,Family Four,Härliga Sommardag,75.0,13th,1972,final
